,text
2050,@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best
2051,"@united is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress,"
2052,@united 1k member broken seat back broken tv broken light lost bag  gee thnx. UA922 awesome job
2053,@united absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!
2054,@united nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.
2055,@united averaging 200 minute wait times tonight or what? I've gotten no help from you tonight.
2056,@united thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.
2057,@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.
2058,@united you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA
2059,@united what's with the layover in Canada from the UA125? Is that scheduled?
2060,@united an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.
2061,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
2062,@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550
2063,@united - you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!
2064,@united after 443min of avoidable non-weather delays that #Appreciation link better be giving out #GoldenTickets
2065,@united where is our luggage
2066,@united we just left @flySFO (delayed). http://t.co/XzBAjMiekx
2067,@united all set. Figured it out at the baggage office!
2068,@united screws up again...to be expected! NEVER AGAIN!
2069,@united why don't you allow families with small children to board first anymore? Our next flight will be on another airline...
2070,@united Life goal: complete ✔️
2071,@united I have $20 and I'll draw you a super sweet picture of your choosing. Will that get me round-trip to San Diego? 🌴🌴 It's so cold here.
2072,@united flight Cancelled Flightled to Denver service agent offered me a non jet salt lake to Denver or red eye out of Atlanta then hung up on me.
2073,"@united That's called throwing ""loyalty"" out the window and trying to give less awards."
2074,"@united your unhelpful team? Sure I did. I'm in Bangkok, my bag in Chicago. Are u going to pay for my accommodation s until my bag arrives??"
2075,"@united I'd hardly call going from 10,000 miles to 1,000+ miles a ticket cutting edge. About 1/10 the perk?"
2076,@united that's not an apology. Say it.
2077,@united Just sent a DM. Thank you for the acknowledgment.
2078,@united download jeokoo the American app for air travelers
2079,@united been on hold for almost two hours trying to talk to someone about a Cancelled Flighted flight tomorrow morning. What do you suggest?
2080,@united no apology? Cool.
2081,"@united you ask a lot of customers who  you routinely screw over. You know that, right?"
2082,@united I'm a first time solo female traveller and it's pretty scary being in a foreign place not knowing where your belongings are...
2083,"@united I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers...."
2084,@united somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.
2085,@united Missing flight attendant = Delayed Flight. Prime example how 1 person impacts 100's of people. HNL -&gt; IAH (UA252) #wastedtime
2086,@united has me stranded in Texas and then hangs up on me when I'm trying to figure out how to get home. Cool.
2087,@united we have tried to change our flight THREE times on the phone and got disconnected each time.
2088,"@united poor showing today, no assistance to passengers who mis connected due to maintenance and waiting for baggage"
2089,"@united has been showing the same tone deaf video for all these years about how ""wifi is coming!"" Hah.Not before I leave. @VirginAmerica ftw"
2090,@united Can I get a follow? I fly with you for Christmas.
2091,"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD"
2092,@united look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7
2093,@united thank you! Much appreciation for your help.
2094,"@united Been sitting on flight 435 for an hour after landing in Newark. First no gate, then no jetway operator. Seriously!?"
2095,@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed
2096,@united - not only 2 hour delay - double booked seat nit parked at wrong gate - incompetence at its finest - been waiting  for over 1 hr
2097,@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo
2098,"@United - routing a person from Houston to Newark, NJ  and then to SFO is not acceptable."
2099,@united Phone
2100,"@united Freakin"""
2101,@united Pick
2102,@united Suck
2103,@united 25 minute hold is 1 hr. 25 min. @ABC11_WTVD
2104,@united 20 yrs of flying Continental/united exclusively I get why everyone hates you - fl1289sfo/EWR #getmeoffrhisFUCKINplane
2105,@united 24 seats available on the 2:15 pm from ORD to RDU...I need 2 seats please
2106,@united I'm still trying to get things worked out and you have yet to respond back.
2107,"@united screwed up our reservation- they assigned a new # to just one of us &amp; when they changed our flight, only changed the original #."
2108,@united 25 min hold has now progressed to over an hour...919-675-0985
2109,@united YOU SUCK!
2110,"@united yo, you need a new website really badly. This day and age..."
2111,@united if I was rebooked do I have to pick up my luggage?
2112,@united how can u not have gate ready or gate agent for going on hour two
2113,@united just DM'd
2114,@united had a different fiasco on my outward trip and was rebooked on to qantas lax-Syd. No FF miles show up in my account for that :(
2115,@united I am following - you need to follow me for DM?
2116,@united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60+min
2117,"@united not a good day to fly u, two delayed flights still on plane at Ewr waiting over 1,5 hours for gate get to gate no gate agent."
2118,@united just called and did it. Should have earlier because I'm being sent to DCA first and THEN to pvd. We may rent a car instead.
2119,"@united my luggage is set to go to DCA however, I am rerouted to Dulles. Currently in NOLO however bags are in Houston. Can you fix this?"
2120,@united I went from Sacramento to Minneapolis at the end of October 2014 in business class.
2121,@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.
2122,@united I hope your corporate office is ready to deal with the rage created by your shitty service and bullshit pilots. #UnitedAirlinesSucks
2123,@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk
2124,@united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou
2125,@united sadly this wasnt just due to mother nature investigate this incident and your employees at sfo. Terrible customer experience
2126,@united flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv
2127,@united 30 of us on flight 1750 trying to get to tel aviv that is trying to take off right now with out us so cruel. Next flight is 350pm
2128,"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available"
2129,@united I see several economy plus can you put us in those. We don't have to be seated together
2130,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via @ParachuteGuy)
2131,@united I see you coming to get me and @AggieMensGolf in Hawaii! #12thMan http://t.co/G8DKa3Edhf
2132,@united Airline SUCKS! Customer Service SUCKS! NO courtesy! Incompetent - passengers do NOT matter- Bet the CEO is just doing fine though!
2133,@united do you expect to Cancelled Flight flights out of @DENAirport tomorrow morning given the storm?
2134,@United also ran out of water and refused service #costumerservice #legit #jk
2135,@united I have a question
2136,@United Can you increase the legroom? : How airlines compare http://t.co/diUfep8n2q via @CNNMoney
2137,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?"
2138,@united I see two flights with two seats in the morning can we get on those
2139,@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united
2140,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies
2141,@united the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.
2142,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards"
2143,@united we will be at the airport first thing in the morning
2144,@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat
2145,@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter
2146,@united Doesn't have to be same flight 2 and 2 will work also
2147,@united who compensates is for the delays caused by the fact that you don't have enough flight attendants?? http://t.co/96apr35qan
2148,@united we've been seating for 5hrs inside flight UA936 at #IAD delayed. We've only been offered water &amp; cookies in business class. #failed
2149,@united please get me off this plane #UA57
2150,@united yes. On a nonstop to Memphis tomorrow morning. With the snow coming in I got my fingers crossed it will go.
2151,@united traveling with 3 young kids!! Chose our original flights for a reason.
2152,@united have since dropped to 2 layovers but still not acceptable.
2153,@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?
2154,"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed"
2155,@united not completely.  Our flight was changed in July but we never received notification.
2156,@united are there any upgrades avail to get us all on the same flight
2157,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags
2158,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw
2159,@united can you make sure I’m on the upgrade list for 2/23 EWR-PDX using my GPU priority? Got a weird email about it.
2160,@united so is that two seats avail so far for us.
2161,@united has once again earned a place as the worst airline in the business
2162,@united is flight number 1142 Denver to Las Vegas 1125 on Sunday feb 22 Cancelled Flighted ?
2163,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?"
2164,@united I'm trying your WiFi on UA1616. But sorry it really slow. Even #Spotify lagging and that isn't a hard stream.
2165,"@united Not until tomorrow night. And the hotel voucher had higher rate than travelocity Not loving cost, but hard working staff"
2166,"@united flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight"
2167,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for
2168,"@united boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much"
2169,"@united After all I have been through on this trip, can you get me on another airline home?"
2170,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.
2171,@united boarding a #plane would be much faster if you boarded back to front instead of front to back #MakesSense #efficiency #travel #flying
2172,"@united it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm."
2173,@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..
2174,@united I'd really like to get off of this plane now.
2175,@united possibly the worst airlineGave them three chances Second time in 2 weeks a flight has been delayed and or Cancelled Flightled due to mechanics
2176,@united cabin pressurization issues are pretty serious. Flight 1109 landed in Washington because of it. My head is pounding.
2177,@united Sandra at ur international checkin counter was rude and offensive.  She commented she didn't care if I complained cuz she had 25yrs
2178,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.
2179,@united Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days.
2180,@united 3 times I've called customer services each at least 40 mins... Each time cut off by your operators... Why can't you call me back!
2181,@united Tell me that you're at least going to cover a room and get me out of here.
2182,@united OMG!!! you just bumped me off the last flight. Can this get any worse.
2183,@united Which just speaks to basically the worst designed web system ever.
2184,"@united Yeah, I tried that about 10 times for two different tickets, and it told me to ""Try again Late Flightr""."
2185,@united please fire the captain of flight 6232 today. He single handedly ruined every passengers day by being a piece of shit. #unitedsucks
2186,@united U blow
2187,@united what exactly do you hang on this hook? http://t.co/ZHxOk07Aqa
2188,"@United - flight Cancelled Flightled. 4 hrs at airport to book a new one for $95. Just got two invoices for the flight, each for approx $300. Really?!"
2189,@united why do you hire POS pilots? Thanks for ruining my trip and not allowing me to see my buddy as he turns 30. #unitedsucksdick
2190,.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.
2191,@united what's the best way to get your tickets? Print off at home or go to check in desk?
2192,@united Pay for my hotel.... I'm a broke student #help
2193,@united all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help
2194,@united what a nightmare!!  Both sides of my flights are a disaster!  At Houston getting attitude cuz I was sent to ticket counter
2195,@united you're terrible.
2196,@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!
2197,@united Anyone there? Did you read my DM?
2198,@united 732 from Denver. We just boarded! Fingers crossed we get into the air!!!
2199,"@united EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out"
2200,@united How does that make a flight takeoff on time? And regardless it makes me Late Flight because now I have to wait for my bag at baggage claim.
2201,@united it's been over 3 hours...at what point do you let people off of the plane? @FoxNews @CNN @msnbc
2202,@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!
2203,@united why are there no early morning flights from HNL to anywhere in the continental US? Example- Monday 4/20. Need flight to PHL
2204,@united nope I gave up - maybe they'll deliver it
2205,@united Thanks for the upgrade- please try to get my company to approve more business class travel.
2206,@united more and more delays! No CS help at all! No notifications!
2207,@united and waiting
2208,@united hoping there is a spare a/c for 1171 tomorrow!  Have a ship to board!  The sched aircraft is delayed from previous flts.
2209,@united Hubby made it by the skin of his teeth!   :)
2210,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.
2211,"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution"
2212,@united is the worst
2213,@united still waiting
2214,"@united thanks for the reply. To clarify, the airfare is similar to your likely intended peer group. The $3 beer charge, however, is not"
2215,"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH"
2216,"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?"
2217,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue
2218,"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful."
2219,@united any plans of restating nonstop service between IAD and South Florida?  We miss our flights to FLL.
2220,"@united instead of be told when we board, we have to wait for the emails telling us about the delays."
2221,"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight."
2222,@united following
2223,"@united unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would"
2224,@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled
2225,@united your baggage person told me to go through @AirCanada - they're handling my connecting flight.
2226,@united I sent a PM over two weeks ago and have heard nothing!  #horribleservice #unitedsucks
2227,"@united Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for @Delta"
2228,@united thank you! Excited to be working with you guys!
2229,@united could really use your help getting our bags at IAD. We're headed to YOW but now going to YXU
2230,@united It appears there are six flights to Calgary tomorrow is this correct?
2231,@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems
2232,@united yr team have me on hold for over an hour unhelpful Pls can you answer my question.
2233,.@united Let us know when you find everyone's luggage. Thanks. #UnitedAirlines
2234,"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?"
2235,@united is there another airport closer to Calgary we can fly out of tomorrow.
2236,@united Nope! I'm on UA 174 that was supposed to leave at 6:47 but are still at the gate. Apparently we are about to pull back and de-ice.
2237,"@united Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm."
2238,@united Yes. About an hour after landing.
2239,@united just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies
2240,@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?
2241,@united On flight 1220 right now...
2242,@united Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in
2243,@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest
2244,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.
2245,@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area
2246,@united hoping to get out earlier than 2/23 (only phone option) or assistance with hotel.
2247,@united having to pay for a hotel room in Cleveland because of last minute Cancelled Flightled connecting flight. Booked through united..Unimpressed!
2248,@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.
2249,@united I was on UA1069 today and left my sunglasses in seat 26F. Please help me get them back! #UnitedAirlines
2250,@united Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!
2251,@united 4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks
2252,@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.
2253,"@united thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight!"
2254,@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?
2255,Reply to @united - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.
2256,@united 15-hr flight w/broken #Dreamliner media system. Witness #mental #breakdown as we bounce off walls. Remind me why I'm 1K.
2257,@united I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.
2258,@united never again.
2259,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR
2260,@united who do I need to contact regrading a complaint and to get a voucher funds for future travel on United?
2261,@united is trying to strand us in Houston until tomorrow morning. pretty sure overFlight Booking Problems and maintenance aren't our fault.
2262,@united  your costumer service today in the Providence airport was sucked. Recommend your airline learn to check the weather and be honest
2263,@united fire yr rep who refused to put me on a flight that I had a boarding pass and seat on. Full explanation and her name in complaint.
2264,@united that's great! pls let me know when u start!
2265,@united @ehsanisMpowered lmfao
2266,"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit."
2267,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed
2268,@united sucks.
2269,@united I can understand that but to not have another plane available when there is a full day till departure is unacceptable. Phoenix?
2270,@united is honestly RUINING MY FUCKING LIFE RIGHT NOW. NEVER AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!
2271,@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.
2272,@united where's the crew for ua748?
2273,@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD
2274,@united quality work going on here. http://t.co/9xbO5daKaK
2275,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed
2276,@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.
2277,"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent."
2278,@united Charging $6500 for biz flight to UK = somewhat egregious. Charging $3 on top for a Sam Adams draft at the United Club is usurious.
2279,@united I see. Thanks for explaining.
2280,@united Your social listening capabilities are awful if this is the reply for the context in which you were mentioned @stevelord212
2281,@united If you follow me I will DM you my phone # which you can call.
2282,"@united After an hour+ wait, my issue is resolved. I did contact customer service to comment on the wait time. Thanks for contacting me."
2283,"@united Yes, they did. Must have fixed the broken ramp. Thanks!"
2284,@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline
2285,@united thanks
2286,"@united hey, I missed my outbound flight - can I still use my return ticket?"
2287,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!
2288,@united seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!
2289,@united most terrible flight experience happening to everyone right now on Flight:UA1750 6 delays 4 hrs total missed all my flights now thnx
2290,@united @USAirways @AmericanAir @americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!
2291,@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.
2292,@united The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/N2fvElcYgz
2293,@united A friend traveled via UA1470 today and never got their luggage. What recourse does the person have? Buy clothes and get reimbursed?
2294,@united I keep getting kicked to an error message when trying to purchase a flight on http://t.co/p3N2w8JfpS. Have tried at least 4x.
2295,@united - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...
2296,@united Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?
2297,@united you have a culture issue
2298,@united rep wouldn't rebook. This is such a waste of time and poor communication
2299,@united my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!
2300,@united employees almost seem happy when delivery terrible customer service.
2301,@united can I get your service desk # at IAD?
2302,@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??
2303,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
2304,"@united Been on hold on the phone for well over half an hour, waiting to make a reservation change I *wanted* to make online. Help!"
2305,"@united 2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost"
2306,@united i'm glad u can solve the prob. But my experience remains - will not fly again on #United
2307,@united u Cancelled Flighted my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2
2308,"@United appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?"
2309,@united - it is possible to make a ticket change via Twitter? Traveling internationally and can't make calls... Thanks in advance!
2310,@united A broken luggage and a mild case of food poisoning from UA5 LHR-IAH. Who can I email about this?
2311,@united just filled it out. Hope someone responds before we book our next trip.
2312,@united friends been sitting in Houston since 7am flight Cancelled Flighted.Still don't have any answers. #BadCustomerService  #$10voucherwhatajoke
2313,@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint
2314,@united give me an email address and I'll send the actually screen shot to you.
2315,@united u guys did it again changed ages and double booked seats so I had to I've even though I have platinum and the other person none
2316,@united also checked email you have on file for me and it is correct
2317,@united haven’t before and haven’t this time &amp; have checked spam/junk mail just in case—nothing
2318,@united sloppy stuff you don't see anymore - united has raised my expectations - this team was poor
2319,@united how long does it take to get a response from your customer service about a complaint done through email?
2320,"@united no bag tagging, led to many people backing up the aisle to front with bags"
2321,"@united cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers"
2322,@united allowing passengers on my flight to block exit of plane
2323,@united no wheelchairs
2324,"@united no commitment to a good turnaround, an operations mgr would have counted a dozen small issues with individual performance"
2325,@united the nightmare continues... http://t.co/TsvgbrL15f
2326,@united this team added 30 mins on turnaround
2327,"@united as a million miler with UA, and flying almost every week I observe gate and flight crews committed to good operations"
2328,@united call wait times are over 20 minutes and airport wait times are longer
2329,"@united thanks, we did."
2330,"@united yes, I've been waiting for four hours and no one has been able to help me."
2331,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines
2332,@united we are sitting on the runway for 2 hours! It is ridiculous!!
2333,"@united, no, your service here pretty much ruined my day, but thanks for the weak attempt"
2334,"@united what, you forgot to tell them the flight was coming... Thanks for allowing me to miss my connection"
2335,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?"
2336,@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW
2337,@united please don't take my membership away :(
2338,"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning."
2339,"@united has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that doesn't understand the concept of time zones, thanks!"
2340,@united !!!!! YAAYY!!! YAY PROM!!!! http://t.co/DXicoyioxF
2341,@united but your system gave my seat away.now I'm 27L Economy! Not Econ + seat. How did you give my plus seat away?
2342,@united I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!
2343,"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”"
2344,@united please. You moved my seats and lost my upgrade. I had seat 20L. I have a ticket in my hand for 20L
2345,So appreciated! @united
2346,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
2347,@united No problem just follow me back so I can! Thank you!
2348,@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault
2349,@united my husband is supposed to fly RDU to IAD then IAD to FRA leaving in 2 hours. You Cancelled Flighted his flight and there's a 1hr wait on phone
2350,@united is probably the least satisfactory airline I've ever been on. Never fails to disappoint.
2351,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!
2352,@united not sure why u call it customer care.  Should be customer we don't care
2353,@united who is in charge of making decisions over there? Cancelled Flightling flight UA1150 was unacceptable. I should be in #Belize right now.
2354,@united I fly @AmericanAir normally.  This doesn't happen to me with them.  I'll let your flyers provide their own feedback. Thank you.
2355,@united the upgrade to first class was a nice way to fix your earlier mistake. Thank you!
2356,@united how about plowing the snow at a gate before the plane arrives so we don't sit for 45 minutes after an 8 hr flight.... Fail
2357,@united SATURDAY this morning Man dies from Ebola http://t.co/hXVVIS0VWw
2358,@united Rhonda C. at Atlanta airport redeemed you guys. She got us straightened out.
2359,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain"
2360,@united great job losing one of my six bags on a direct flight.  Don't know how you manage to do it.
2361,@united the worst customer service in Denver.
2362,"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ"
2363,@united So what's allowed or what's not allowed to be carried in my checked baggage?
2364,@united now been on board with no movement for 25 min...wow this experience just keeps getting worse and worse
2365,@united have an employee at the gate 15min before boarding like u expect ur customers to. Be a competent company like ur rivals
2366,@united No wonder the cabin is filthy. #badservice
2367,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice"
2368,@united I need #United to be a better airline!!
2369,@united flight was Cancelled Flightled due to mechanical issues but when I ask for cab fare they say it was weather and can't help me
2370,"@united I haven't booked yet, I'm asking before I book"
2371,"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!"
2372,"@united Luckily, I had my disinfectant wipes and did your job for you. You're welcome. #badservice"
2373,@united You really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. Gross!
2374,@united cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx
2375,@united since UA 1226 ORD-EWR is delayed pushing it into meal time does that mean it will be catered with meals in First?
2376,@united help? Invest more in your planes and your people and less in stock buybacks and executive pay. Maybe then you would not disappoint.
2377,@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes
2378,@united correct?  What's correct?  Sorry I'm lost
2379,@united that's a crazy long form! You need something other than a video?
2380,@united I hope not to see the same issue on my return flight tomorrow
2381,@united flight just Cancelled Flightled. This is ridiculous
2382,@united I'm flying UA but *G with A3
2383,@united You shouldn't page o'head that it's best to call 1-800# - on hold 26+ mins
2384,"@united we have developers flying down tmrw morn. w/45 min layover, there is an earlier flight to have 1.5hr layover, can move them up?"
2385,@united thanks for the reply.  If you can get me a better seat on my next leg to Munich. That would be nice.
2386,@united appreciate getting put on hold for 20min and then getting hung up on because I was requesting help for big group. I'll try #Delta
2387,@united Home is Calgary can you get us there without the added expense of accommodations and meals.
2388,@united thank you for your reply.  My frustration is that spending a upgrade just puts you on a wait  list.
2389,@united @nathankillam or your staff could try not throwing the luggage around.
2390,@united 4 of us are stranded   And flying from New Orleans to Huston tonight and we will be stuck there for two days. Rather fly than wait.
2391,@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first
2392,@united thank you for taking care of my mom and reFlight Booking Problems her flight in phl.
2393,"@united can't get anyone to deal with me in person. Cowardly customer service, I can't be looked in the eyes by anyone."
2394,"@united nope. Called, lost the seating preference I paid for, and here I still sit. We'll see what happens w/ my flight Late Flightr."
2395,@united stuck in DC trying to get to Denver. The engine shut down twice on us at the terminal. Got any available flights for me?
2396,"@united Ill check it out, appreciate the response, regardless."
2397,@united nope.  no case id either time.
2398,@united yes 1427 Cancelled Flightled. Moved to 333. I'll figure out car rental changes and such.
2399,"@united troubling news, time to raise the bar on legroom! http://t.co/nmbHNGnMkI"
